150 PA5-A-Debug-Answer.txt 6
   10.1980  152.4134    1.6255  -22.2278   -5.9472  -40.8193
  -33.49     3.32   -44.04       -33.49     3.32   -44.04     0.000
   13.07    22.57    31.84        13.07    22.57    31.84     0.000
  -26.16    -7.60   -10.54       -26.16    -7.60   -10.54     0.000
   19.90     1.69    54.69        19.90     1.69    54.69     0.000
  -13.99    10.07   -35.83       -13.99    10.07   -35.83     0.000
   35.32     3.87     1.66        35.32     3.87     1.66     0.000
  -14.99   -30.15   -40.05       -14.99   -30.15   -40.05     0.000
   16.05    21.87    51.65        16.05    21.87    51.65     0.000
   14.80    23.34    44.70        14.80    23.34    44.70     0.000
    4.81     9.04    -7.96         4.81     9.04    -7.96     0.000
   12.91    12.09   -25.41        12.91    12.09   -25.41     0.000
   12.74    21.68    62.33        12.74    21.68    62.33     0.000
  -40.65   -14.56   -19.22       -40.65   -14.56   -19.22     0.000
  -34.80   -14.47   -11.91       -34.80   -14.47   -11.91     0.000
  -29.85    10.27   -29.02       -29.85    10.27   -29.02     0.000
  -35.02    -2.07   -14.48       -35.02    -2.07   -14.48     0.000
  -34.06   -11.22   -11.25       -34.06   -11.22   -11.25     0.000
   -7.14     2.69    17.63        -7.14     2.69    17.63     0.000
    0.96    14.66     8.38         0.96    14.66     8.38     0.000
  -25.85   -30.92   -19.72       -25.85   -30.92   -19.72     0.000
   -3.73     7.40    -8.54        -3.73     7.40    -8.54     0.000
   28.46    18.14    -9.68        28.46    18.14    -9.68     0.000
  -11.11    11.96    25.19       -11.11    11.96    25.19     0.000
    4.78    19.43    47.34         4.78    19.43    47.34     0.000
   19.72    15.93    54.05        19.72    15.93    54.05     0.000
   -0.51   -20.96   -32.56        -0.51   -20.96   -32.56     0.000
   -8.51     4.68    16.27        -8.51     4.68    16.27     0.000
  -11.43     5.87   -12.86       -11.43     5.87   -12.86     0.000
   -2.27   -10.81   -34.58        -2.27   -10.81   -34.58     0.000
   14.93    21.93    53.52        14.93    21.93    53.52     0.000
  -40.36    -5.45   -39.98       -40.36    -5.45   -39.98     0.000
   -3.09    18.01    16.86        -3.09    18.01    16.86     0.000
    7.97    -4.37    63.16         7.97    -4.37    63.16     0.000
    6.81     2.36    66.68         6.81     2.36    66.68     0.000
  -31.32    -5.67   -12.07       -31.32    -5.67   -12.07     0.000
    2.80   -19.47   -17.31         2.80   -19.47   -17.31     0.000
   -2.84    -4.85   -32.95        -2.84    -4.85   -32.95     0.000
   18.51    21.91   -19.45        18.51    21.91   -19.45     0.000
   -0.60   -20.04   -33.63        -0.60   -20.04   -33.63     0.000
   27.23     9.73    15.85        27.23     9.73    15.85     0.000
    9.78     9.92    67.57         9.78     9.92    67.57     0.000
    7.34    -4.63    31.68         7.34    -4.63    31.68     0.000
   20.47   -12.64   -18.72        20.47   -12.64   -18.72     0.000
  -28.68   -31.18   -37.32       -28.68   -31.18   -37.32     0.000
   14.82    25.46     7.69        14.82    25.46     7.69     0.000
    7.05    17.88    -0.74         7.05    17.88    -0.74     0.000
   22.54   -10.96    -4.17        22.54   -10.96    -4.17     0.000
   19.93   -12.94   -17.98        19.93   -12.94   -17.98     0.000
    6.73    22.30    22.19         6.73    22.30    22.19     0.000
    5.04    -6.10    26.98         5.04    -6.10    26.98     0.000
   34.15     4.73     5.38        34.15     4.73     5.38     0.000
  -29.44   -12.40   -52.22       -29.44   -12.40   -52.22     0.000
    6.05    21.96    27.02         6.05    21.96    27.02     0.000
