400 PA5-H-Unknown-Answer.txt 6
 -120.0044   18.1098  -88.6708  -47.0896   52.9431  -75.5789
  -12.64   -11.46   -51.16       -12.65   -11.46   -51.10     0.057
   26.60    -6.53     2.61        26.63    -6.63     2.66     0.115
  -27.47    13.05   -35.54       -27.47    13.10   -35.56     0.057
   10.15    26.34    15.24        10.15    26.33    15.24     0.018
   19.44    11.65    52.72        19.33    11.62    52.69     0.119
   -7.98   -12.45    -0.07        -7.96   -12.42    -0.13     0.067
  -21.90   -31.97   -20.85       -21.90   -32.09   -20.82     0.121
  -14.07    19.01    33.35       -14.01    18.92    33.33     0.115
    0.27   -18.49   -33.68         0.19   -18.52   -33.65     0.090
   24.07    10.94   -29.37        24.07    10.94   -29.36     0.007
  -28.20   -29.25   -14.80       -28.22   -29.31   -14.78     0.074
   36.98     1.78   -12.97        36.98     1.78   -12.97     0.001
   -7.87   -21.97    -9.53        -7.88   -21.93    -9.58     0.068
    2.74   -13.27   -27.43         2.73   -13.27   -27.42     0.015
   -6.29   -11.48   -42.13        -6.27   -11.48   -42.14     0.018
   25.74    -0.09   -26.30        25.73    -0.07   -26.28     0.031
  -14.99    10.46    40.65       -14.99    10.46    40.65     0.005
  -22.38   -27.30   -11.13       -22.40   -27.38   -11.07     0.106
   -7.75     7.86    37.66        -7.76     7.83    37.66     0.028
   25.50   -12.68    -2.44        25.54   -12.70    -2.42     0.051
  -19.50   -31.56   -19.35       -19.49   -31.63   -19.34     0.069
  -17.62     1.01    -3.13       -17.67     1.02    -3.12     0.056
   23.34     6.04    28.23        23.36     6.03    28.24     0.021
  -22.86   -28.09   -42.21       -22.87   -28.10   -42.22     0.011
  -40.41   -18.06   -14.44       -40.37   -18.04   -14.47     0.053
   16.69    -3.27    36.89        16.70    -3.29    36.89     0.022
   32.49    -2.11     7.37        32.50    -2.16     7.41     0.063
   15.70    24.30    42.01        15.72    24.35    42.00     0.056
    7.35    -7.35    44.28         7.35    -7.27    44.28     0.075
  -24.84   -30.31   -15.22       -24.84   -30.31   -15.22     0.001
  -13.31     9.13    31.62       -13.36     9.02    31.59     0.117
   22.78    -1.43    21.50        22.75    -1.41    21.49     0.039
   10.62    -2.40    56.03        10.61    -2.41    56.02     0.010
    8.73     8.52    57.30         8.78     8.52    57.36     0.075
   -9.60    12.43    20.48        -9.67    12.44    20.44     0.086
  -14.97    15.73    39.30       -14.91    15.69    39.27     0.078
  -40.20     2.77   -27.44       -40.28     2.80   -27.45     0.081
  -20.44   -31.86   -20.30       -20.43   -31.88   -20.30     0.020
   -3.52    -8.61   -37.10        -3.52    -8.62   -37.10     0.000
   -7.91    11.25    45.88        -7.86    11.26    45.86     0.051
   30.64     8.84    13.10        30.68     8.84    13.12     0.046
   36.57     9.45   -13.01        36.61     9.47   -13.05     0.060
   -2.79    -0.51   -30.75        -2.82    -0.52   -30.73     0.034
   -5.71    16.55    18.01        -5.67    16.48    18.07     0.096
   -7.41   -11.28     1.30        -7.43   -11.31     1.34     0.051
    6.55    -7.57    35.22         6.55    -7.64    35.23     0.067
  -37.60    -6.18    -8.53       -37.64    -6.17    -8.49     0.055
   19.72    -8.36   -21.51        19.73    -8.36   -21.50     0.005
   32.00    -4.55    -4.05        32.06    -4.59    -4.08     0.074
   21.32   -16.17   -13.72        21.32   -16.17   -13.72     0.001
   -5.07     9.57   -12.06        -5.07     9.52   -12.06     0.050
   35.35     8.18   -17.62        35.27     8.17   -17.57     0.094
  -34.89   -28.84   -21.19       -34.91   -28.87   -21.18     0.049
   37.02    12.00    -9.63        37.07    12.04    -9.65     0.058
    1.77     9.29   -13.11         1.77     9.29   -13.11     0.002
    0.56    -8.88    20.34         0.60    -8.84    20.33     0.052
   24.58   -14.02    -7.00        24.48   -13.99    -6.98     0.100
   -0.18   -25.74   -26.76        -0.19   -25.72   -26.76     0.022
  -35.57   -28.11   -31.81       -35.64   -28.17   -31.83     0.096
   32.23    -2.19   -22.84        32.21    -2.19   -22.84     0.014
  -26.34   -21.08    -6.94       -26.35   -21.08    -7.04     0.096
    7.49    24.42    17.35         7.46    24.48    17.36     0.069
    0.54    16.79     9.46         0.53    16.81     9.45     0.027
   20.24    14.92    40.91        20.16    14.89    40.89     0.090
   14.19    24.74    24.90        14.17    24.63    24.89     0.111
  -28.59   -32.31   -23.12       -28.58   -32.29   -23.12     0.021
  -33.03   -30.02   -31.32       -33.11   -30.13   -31.34     0.135
   23.71   -16.79    -3.56        23.62   -16.73    -3.58     0.104
   10.28    12.28    -6.71        10.25    12.34    -6.76     0.084
   33.34    -0.78   -22.30        33.35    -0.79   -22.30     0.004
  -30.05   -32.29   -27.84       -30.03   -32.19   -27.84     0.105
   30.17     7.15   -26.61        30.15     7.15   -26.60     0.016
  -36.35   -22.82   -14.09       -36.39   -22.88   -14.04     0.087
    4.84    17.84     3.29         4.81    17.86     3.29     0.028
   19.17     3.07    45.42        19.15     3.08    45.41     0.029
  -16.06   -20.36   -49.17       -16.07   -20.30   -49.07     0.115
   -6.90    -0.24    18.88        -6.95    -0.26    18.89     0.062
   20.79    17.06    33.66        20.78    17.06    33.66     0.001
   -4.01     5.35    51.62        -4.08     5.33    51.63     0.071
   11.72   -15.93     4.42        11.72   -15.97     4.43     0.039
  -40.36    -9.17   -37.88       -40.40    -9.16   -37.88     0.042
  -37.79   -21.11   -14.35       -37.78   -21.10   -14.37     0.024
    7.74    21.56    -0.43         7.72    21.56    -0.44     0.025
    8.19   -18.41   -14.63         8.17   -18.37   -14.61     0.046
  -38.68   -18.47   -13.43       -38.71   -18.49   -13.40     0.052
  -12.32     8.07   -10.20       -12.36     8.16   -10.15     0.110
   26.14    -7.07     2.08        26.14    -7.06     2.07     0.008
   16.67     1.11   -21.83        16.67     1.11   -21.86     0.025
   -7.94    12.33    46.17        -7.95    12.33    46.17     0.015
  -40.24     5.81   -22.27       -40.17     5.79   -22.26     0.076
   -0.55   -15.53   -33.49        -0.54   -15.53   -33.49     0.001
   13.29    23.88    38.55        13.25    23.93    38.54     0.064
    6.16   -15.21   -22.04         6.16   -15.21   -22.04     0.007
  -14.27     9.27    36.53       -14.29     9.16    36.54     0.107
   -6.99    16.33    19.61        -6.96    16.32    19.63     0.032
   -5.55    11.42    52.51        -5.65    11.42    52.52     0.101
  -10.35   -28.85   -15.94       -10.33   -28.93   -15.92     0.084
  -11.50   -21.98   -45.87       -11.43   -22.04   -45.84     0.105
  -10.02   -23.19   -44.99       -10.07   -23.14   -44.95     0.081
   12.71    24.53    24.30        12.69    24.70    24.32     0.172
   -4.26    -2.35    22.82        -4.26    -2.35    22.82     0.001
    2.12     1.28   -23.47         2.09     1.25   -23.44     0.055
   25.29   -13.01    -4.98        25.29   -13.00    -4.98     0.004
   20.15    16.67    39.05        19.95    16.61    39.01     0.215
    2.66    -6.09   -25.18         2.68    -6.09   -25.19     0.031
  -13.51   -31.28   -24.34       -13.51   -31.26   -24.34     0.025
   21.69    18.29   -28.44        21.71    18.30   -28.47     0.040
    8.49    26.72     9.31         8.54    26.65     9.31     0.086
   -5.95   -27.54   -16.25        -5.95   -27.55   -16.24     0.007
  -36.50     5.71   -15.18       -36.54     5.77   -15.15     0.075
    1.91    -8.84    27.88         1.91    -8.59    27.85     0.251
  -21.56   -32.70   -24.77       -21.56   -32.75   -24.76     0.049
  -21.91    -0.31    -6.81       -21.91    -0.31    -6.82     0.007
  -23.34    15.75   -30.95       -23.33    15.66   -30.93     0.095
    7.93   -17.67   -16.38         7.96   -17.68   -16.39     0.028
   -8.06   -23.50   -41.34        -8.05   -23.51   -41.35     0.019
  -37.28     8.99   -27.87       -37.30     9.01   -27.87     0.027
   31.06    -5.01   -19.15        31.05    -4.98   -19.12     0.043
   17.37   -14.78     6.62        17.36   -14.75     6.60     0.031
   13.86    26.23   -15.21        13.77    26.40   -15.21     0.192
  -15.96   -27.29   -10.98       -15.95   -27.38   -10.95     0.100
   35.95    -0.73    -3.22        35.82    -0.57    -3.23     0.201
  -11.51   -11.09   -50.00       -11.49   -11.08   -50.01     0.031
  -39.63    -8.15   -10.62       -39.63    -8.15   -10.63     0.011
    5.87    22.02    30.65         5.85    22.15    30.67     0.139
   31.83     2.28    11.45        31.85     2.27    11.48     0.036
   20.20    15.99    38.85        20.19    15.98    38.85     0.014
   -4.05    16.48    16.46        -4.06    16.59    16.46     0.111
  -14.45   -24.80    -9.36       -14.46   -24.80    -9.44     0.077
  -28.27    13.71   -24.95       -28.30    13.77   -24.93     0.072
   19.96    17.83    36.75        20.03    17.85    36.76     0.074
   14.80    -5.91    30.01        14.84    -5.97    30.04     0.083
  -30.50    -3.55    -7.23       -30.49    -3.54    -7.20     0.039
   32.34    -0.43   -23.69        32.29    -0.43   -23.62     0.078
  -33.49     5.03   -43.56       -33.52     5.10   -43.60     0.080
    3.03    -6.80    37.78         2.98    -7.01    37.81     0.213
  -30.79   -28.83   -16.69       -30.78   -28.83   -16.70     0.006
   16.92    -3.53   -21.26        16.93    -3.55   -21.32     0.058
   29.35    20.55     6.96        29.32    20.53     6.96     0.039
  -18.25    14.17   -37.62       -18.25    14.21   -37.64     0.039
   -9.81     5.66    21.71        -9.77     5.67    21.71     0.042
   29.01    -8.27    -9.14        28.89    -8.20    -9.14     0.138
  -36.58     6.49   -16.87       -36.58     6.50   -16.87     0.013
   -4.36    19.58    25.29        -4.34    19.51    25.30     0.074
  -24.87   -32.57   -32.69       -24.89   -32.74   -32.71     0.167
   -0.02    12.26    -0.31        -0.01    12.24    -0.31     0.022
    4.97    -7.97   -23.92         4.93    -7.97   -23.88     0.057
  -19.96   -25.08    -9.13       -19.96   -25.08    -9.13     0.007
    7.75   -18.03   -16.07         7.77   -18.05   -16.08     0.028
   22.69   -12.16     3.61        22.80   -12.22     3.67     0.137
   14.63   -19.05    -3.90        14.65   -18.98    -3.92     0.080
  -32.61     8.04   -40.74       -32.62     8.05   -40.75     0.018
   35.05    15.29   -13.07        35.19    15.33   -13.10     0.144
   -2.31    -3.33    28.11        -2.37    -3.36    28.12     0.069
   -6.03     5.11    31.75        -6.10     5.07    31.77     0.074
   22.82   -13.27     2.46        22.91   -13.31     2.51     0.106
    8.73    -6.30    55.99         8.72    -6.29    55.98     0.020
   -0.29    -7.56    24.55        -0.24    -7.49    24.55     0.087
   26.36    11.36    19.72        26.48    11.37    19.79     0.134
    5.34   -12.09    18.98         5.34   -12.09    18.98     0.008
  -40.67   -13.56   -12.60       -40.70   -13.57   -12.58     0.039
  -40.98   -11.02   -37.42       -40.93   -11.03   -37.41     0.048
   -5.47   -25.73   -12.52        -5.47   -25.65   -12.55     0.081
   21.30    27.89    -1.77        21.29    27.87    -1.77     0.027
  -40.98    -7.19   -11.50       -40.97    -7.19   -11.52     0.023
  -13.30    18.96    29.42       -13.28    18.92    29.44     0.045
   20.74    16.07    34.81        20.73    16.07    34.81     0.008
   -4.86     6.45   -24.06        -4.87     6.44   -24.06     0.006
   -8.80     9.05    41.55        -8.81     8.99    41.57     0.059
   -0.62   -25.22   -12.78        -0.61   -25.40   -12.73     0.192
   -0.08     9.20   -14.24        -0.07     9.22   -14.25     0.020
   21.33    25.77    13.76        21.27    25.64    13.72     0.146
  -15.52     9.75    35.94       -15.62     9.67    35.94     0.121
   19.49    25.49   -23.33        19.47    25.42   -23.30     0.081
  -33.16   -19.68    -9.25       -33.16   -19.68    -9.24     0.013
   -5.99    13.00    48.59        -5.98    13.01    48.58     0.015
   27.55    24.71    -4.55        27.56    24.72    -4.55     0.012
  -41.78    -2.30   -18.07       -41.84    -2.28   -18.07     0.064
   18.35     7.21   -25.01        18.30     7.19   -25.03     0.054
  -31.54   -29.17   -36.21       -31.59   -29.28   -36.26     0.129
   21.01   -19.19    -5.42        21.01   -19.19    -5.42     0.003
  -14.95    10.16    40.32       -14.95    10.14    40.33     0.019
  -39.35    -5.01   -11.01       -39.39    -4.99   -10.98     0.049
    5.43   -21.46   -12.35         5.36   -21.41   -12.36     0.085
   10.61    12.09    55.95        10.61    12.09    55.95     0.002
   -1.70    21.18    32.00        -1.70    21.12    32.01     0.064
   29.43    -6.96     0.43        29.41    -6.91     0.42     0.058
   24.37   -13.64    -0.65        24.36   -13.63    -0.66     0.016
  -31.34   -16.32   -49.81       -31.31   -16.32   -49.79     0.034
  -23.34     5.41   -11.53       -23.34     5.43   -11.49     0.044
   -0.24    -9.62    11.44        -0.29    -9.73    11.49     0.128
   -2.37     6.58    56.56        -2.36     6.59    56.54     0.029
  -38.01   -26.47   -24.63       -37.91   -26.42   -24.62     0.109
    8.90     8.58    57.19         8.93     8.58    57.23     0.051
   -3.35     0.79    49.25        -3.30     0.80    49.25     0.054
   -6.19    12.50    48.22        -6.25    12.49    48.26     0.075
   18.22    14.79   -29.78        18.23    14.80   -29.74     0.045
   -0.16    14.31     4.32        -0.11    14.23     4.35     0.096
   21.19     9.44    38.99        21.13     9.44    38.97     0.066
  -36.72   -26.27   -33.10       -36.75   -26.29   -33.10     0.033
   -4.90    15.11    51.78        -4.68    14.98    51.80     0.259
  -21.59   -31.35   -37.11       -21.59   -31.40   -37.13     0.056
    3.21   -11.50    13.54         3.18   -11.56    13.54     0.066
  -12.45    11.60   -33.86       -12.43    11.62   -33.87     0.032
   36.69     2.24     3.97        36.69     2.24     3.97     0.002
   34.81    14.05     2.75        34.80    14.05     2.75     0.008
    7.01    22.06    32.98         6.99    22.11    32.98     0.058
    5.96    13.32    -2.84         5.95    13.33    -2.85     0.016
   -9.72    18.33    43.92        -9.64    18.14    43.83     0.220
   15.30    22.49    50.95        15.26    22.47    50.95     0.042
  -17.02   -32.24   -24.91       -17.00   -32.35   -24.89     0.108
   29.77    21.94    -4.24        29.86    21.99    -4.21     0.108
    7.21    25.44     9.17         7.13    25.54     9.20     0.130
   -4.11     2.17    32.68        -4.13     2.16    32.68     0.022
    5.35    -9.56   -23.62         5.33    -9.56   -23.60     0.032
  -10.35   -29.79   -32.64       -10.42   -29.66   -32.64     0.144
    0.60    10.81    -5.69         0.61    10.73    -5.67     0.081
    6.25    -9.13    26.48         6.27    -9.26    26.56     0.158
  -38.53     0.81   -37.76       -38.47     0.79   -37.75     0.063
   30.89    18.73    -0.86        30.95    18.78    -0.87     0.082
  -14.25   -29.94   -38.06       -14.25   -29.95   -38.07     0.022
  -41.18    -9.69   -11.76       -41.10    -9.68   -11.79     0.085
    0.38    -5.90    51.40         0.37    -5.91    51.40     0.013
  -11.19    10.10   -35.45       -11.21    10.08   -35.44     0.024
   26.57     4.23   -28.76        26.58     4.22   -28.76     0.007
  -39.08     5.68   -29.86       -38.96     5.64   -29.83     0.126
   11.09   -17.17   -14.07        11.07   -17.10   -14.04     0.077
    0.81   -11.49     7.13         0.76   -11.63     7.19     0.159
   26.07    -5.73     4.89        26.12    -5.92     4.95     0.206
   16.95    20.68    46.52        16.94    20.68    46.52     0.009
    7.33    11.04    -8.67         7.33    11.04    -8.67     0.001
   17.92    26.01   -23.05        17.92    26.01   -23.05     0.000
   30.59     2.34    12.51        30.60     2.34    12.52     0.014
   -6.71    -1.01    19.07        -6.68    -1.00    19.06     0.027
   19.36    28.74    -1.76        19.35    28.70    -1.76     0.041
   -8.03    19.80    31.34        -8.03    19.83    31.33     0.026
  -27.85    14.52   -28.36       -27.89    14.59   -28.35     0.088
   -3.37    18.73    45.62        -3.37    18.72    45.61     0.008
   -2.54    -2.82    55.99        -2.44    -2.76    55.96     0.124
   21.71    26.39    10.88        21.73    26.41    10.89     0.036
   25.93   -12.00    -4.03        25.99   -12.08    -4.05     0.103
  -21.06    10.81   -40.66       -21.06    10.83   -40.67     0.024
    4.46    22.19     9.09         4.50    22.16     9.10     0.055
  -16.34    11.66    29.76       -16.22    11.68    29.75     0.125
  -35.96   -16.46    -8.71       -35.97   -16.47    -8.67     0.045
  -34.59     0.45   -47.20       -34.59     0.45   -47.19     0.010
  -35.67   -18.06   -45.15       -35.65   -18.04   -45.13     0.031
   -3.30     1.74    54.55        -3.21     1.72    54.57     0.094
  -21.20   -10.97    -4.88       -21.19   -10.98    -4.95     0.069
   20.16     5.61    41.50        20.22     5.60    41.51     0.059
   36.05    12.48     0.27        36.04    12.48     0.27     0.007
  -32.64    -5.68   -50.21       -32.64    -5.67   -50.22     0.008
    8.29    -6.97    42.87         8.35    -7.14    42.86     0.185
   20.48    28.02    -9.82        20.42    27.85    -9.80     0.180
   26.00    25.02   -13.14        25.91    24.88   -13.10     0.172
   10.45    22.83    34.73        10.46    22.78    34.72     0.054
   -8.47     9.82   -12.41        -8.47     9.80   -12.41     0.021
