150 PA5-B-Debug-Output.txt 6
  -65.6662   81.8424  -39.6073   65.2478   92.2891  116.2386
   -8.89   -23.71   -20.98        -8.89   -23.71   -20.98     0.000
  -20.86   -28.73   -21.86       -20.86   -28.73   -21.86     0.000
   -4.55     2.34   -30.22        -4.55     2.34   -30.22     0.000
   -8.73     3.70   -37.64        -8.73     3.70   -37.64     0.000
   21.84    20.90    42.63        21.84    20.90    42.63     0.000
    8.46    24.36    54.78         8.46    24.36    54.78     0.000
   -9.85     7.27    28.61        -9.85     7.27    28.61     0.000
    8.63    -5.06    49.54         8.63    -5.06    49.54     0.000
  -14.16    -5.34   -48.00       -14.16    -5.34   -48.00     0.000
   22.97    22.57   -10.89        22.97    22.57   -10.89     0.000
   10.81   -11.17     7.62        10.81   -11.17     7.62     0.000
   23.97    14.70    56.68        23.97    14.70    56.68     0.000
  -39.44   -18.63   -30.33       -39.44   -18.63   -30.33     0.000
  -13.44   -28.86   -29.53       -13.44   -28.86   -29.53     0.000
  -10.05     7.92    -0.45       -10.05     7.92    -0.45     0.000
    1.95    -2.84   -24.09         1.95    -2.84   -24.09     0.000
   13.81    -9.05    12.00        13.81    -9.05    12.00     0.000
   -6.59   -15.43   -46.52        -6.59   -15.43   -46.52     0.000
   -0.68    17.13     4.87        -0.68    17.13     4.87     0.000
  -17.34     6.49   -19.84       -17.34     6.49   -19.84     0.000
   -0.73    -7.05    43.77        -0.73    -7.05    43.77     0.000
   24.26     1.79    37.62        24.26     1.79    37.62     0.000
   31.78    17.25    -6.31        31.78    17.25    -6.31     0.000
  -32.76   -16.56   -45.21       -32.76   -16.56   -45.21     0.000
   -3.22    17.36    57.90        -3.22    17.36    57.90     0.000
  -29.09     5.62   -17.52       -29.09     5.62   -17.52     0.000
    3.51    -5.86    54.22         3.51    -5.86    54.22     0.000
  -28.47    -8.05   -47.85       -28.47    -8.05   -47.85     0.000
  -39.61   -19.12   -27.51       -39.61   -19.12   -27.51     0.000
    0.84    22.39    53.24         0.84    22.39    53.24     0.000
   -2.49    11.30    59.85        -2.49    11.30    59.85     0.000
  -20.74   -16.43   -48.03       -20.74   -16.43   -48.03     0.000
   -2.50     5.52    52.56        -2.50     5.52    52.56     0.000
  -10.41    16.11    33.74       -10.41    16.11    33.74     0.000
   13.77    13.87    59.33        13.77    13.87    59.33     0.000
  -16.63   -16.84   -47.81       -16.63   -16.84   -47.81     0.000
    3.29    -5.74    55.26         3.29    -5.74    55.26     0.000
   -2.65    -2.23    51.41        -2.65    -2.23    51.41     0.000
    8.26    13.91   -11.07         8.26    13.91   -11.07     0.000
  -38.80    -2.42   -33.03       -38.80    -2.42   -33.03     0.000
   21.94    20.76    43.07        21.94    20.76    43.07     0.000
   -4.62    14.40    54.26        -4.62    14.40    54.26     0.000
   15.82    23.53   -10.26        15.82    23.53   -10.26     0.000
   13.12    15.46   -29.34        13.12    15.46   -29.34     0.000
    2.96    -9.49    18.01         2.96    -9.49    18.01     0.000
   -3.20    -9.67   -38.23        -3.20    -9.67   -38.23     0.000
   17.38    22.86    44.03        17.38    22.86    44.03     0.000
   34.67    16.03     8.37        34.67    16.03     8.37     0.000
    6.00    -8.51    20.46         6.00    -8.51    20.46     0.000
  -15.86     7.54   -29.19       -15.86     7.54   -29.19     0.000
   23.94    -4.94    22.50        23.94    -4.94    22.50     0.000
  -25.53   -20.45   -45.62       -25.53   -20.45   -45.62     0.000
   18.70   -14.00   -15.83        18.70   -14.00   -15.83     0.000
   -5.45    18.19    46.90        -5.45    18.19    46.90     0.000
    5.08   -10.12   -23.13         5.08   -10.12   -23.13     0.000
  -30.58     3.25   -40.86       -30.58     3.25   -40.86     0.000
   20.97    15.43   -27.43        20.97    15.43   -27.43     0.000
  -11.43   -27.96   -29.75       -11.43   -27.96   -29.75     0.000
   -4.18    -5.04    43.87        -4.18    -5.04    43.87     0.000
   -6.28   -21.19   -35.57        -6.28   -21.19   -35.57     0.000
   10.81     7.79   -12.15        10.81     7.79   -12.15     0.000
    1.86    23.87    20.13         1.86    23.87    20.13     0.000
   -7.09     5.24   -25.38        -7.09     5.24   -25.38     0.000
  -18.44     5.83   -18.41       -18.44     5.83   -18.41     0.000
   33.71     2.73    -9.79        33.71     2.73    -9.79     0.000
  -12.74    11.06    31.55       -12.74    11.06    31.55     0.000
   24.34    22.15     8.89        24.34    22.15     8.89     0.000
   37.25     4.59    -3.20        37.25     4.59    -3.20     0.000
   12.36    17.50   -21.38        12.36    17.50   -21.38     0.000
  -39.53    -1.40   -22.86       -39.53    -1.40   -22.86     0.000
  -38.91   -14.57   -19.25       -38.91   -14.57   -19.24     0.000
   13.79    21.91   -13.20        13.79    21.91   -13.20     0.000
   20.09    -0.58    45.68        20.09    -0.58    45.68     0.000
   27.89    19.39   -13.81        27.89    19.39   -13.81     0.000
  -26.20   -29.33   -29.63       -26.20   -29.33   -29.63     0.000
  -29.36   -13.95   -12.45       -29.36   -13.95   -12.45     0.000
  -10.18     8.25     8.93       -10.18     8.25     8.93     0.000
    9.41   -12.18     3.41         9.41   -12.18     3.41     0.000
   38.46     4.88    10.57        38.46     4.88    10.57     0.000
  -33.65     1.18   -16.87       -33.65     1.18   -16.87     0.000
  -26.82     7.26   -19.62       -26.82     7.26   -19.62     0.000
  -10.50   -27.02   -26.06       -10.50   -27.02   -26.06     0.000
    1.25    23.53    41.64         1.25    23.53    41.64     0.000
   15.24    23.02    43.25        15.24    23.02    43.25     0.000
   21.27   -10.93   -15.12        21.27   -10.93   -15.13     0.000
  -38.69    -9.81   -36.83       -38.69    -9.81   -36.83     0.000
  -15.33   -18.13   -12.26       -15.33   -18.13   -12.26     0.000
   25.68    -0.65   -27.81        25.68    -0.65   -27.81     0.000
  -10.71    15.60    33.14       -10.71    15.60    33.14     0.000
   27.40     5.13    31.90        27.40     5.13    31.90     0.000
   -5.91   -20.34   -33.19        -5.91   -20.34   -33.19     0.000
   19.72   -12.47     1.82        19.72   -12.47     1.82     0.000
    2.28    -7.24    40.83         2.28    -7.24    40.83     0.000
    8.58   -11.89   -19.22         8.58   -11.89   -19.22     0.000
   24.96    14.16    50.05        24.96    14.16    50.05     0.000
  -10.82     6.35    19.90       -10.82     6.35    19.90     0.000
  -35.10   -25.13   -31.50       -35.10   -25.13   -31.50     0.000
    2.68    22.38    57.34         2.68    22.38    57.34     0.000
  -38.77    -0.17   -22.45       -38.77    -0.17   -22.45     0.000
   -0.39   -14.51   -23.92        -0.39   -14.51   -23.92     0.000
   26.63    13.72    34.92        26.63    13.72    34.92     0.000
   21.95    21.17    47.12        21.95    21.17    47.12     0.000
   -9.45   -25.97   -36.92        -9.45   -25.97   -36.92     0.000
  -36.78     1.43   -20.38       -36.78     1.43   -20.38     0.000
   34.65    -5.41    14.10        34.65    -5.41    14.10     0.000
  -40.10   -17.17   -25.07       -40.10   -17.17   -25.07     0.000
   -2.50    -6.39    45.77        -2.50    -6.39    45.77     0.000
   20.13    -3.87   -19.90        20.13    -3.87   -19.90     0.000
   -8.73     7.15    38.59        -8.73     7.15    38.59     0.000
  -16.91   -30.07   -34.01       -16.91   -30.07   -34.01     0.000
   20.62   -11.54     2.92        20.62   -11.54     2.92     0.000
   22.07    23.48    -2.92        22.07    23.48    -2.92     0.000
  -41.93   -10.75   -24.53       -41.93   -10.75   -24.53     0.000
   -3.74    16.64    57.11        -3.74    16.64    57.11     0.000
   22.36    12.97   -27.09        22.36    12.97   -27.09     0.000
   35.23     0.93    -7.23        35.23     0.93    -7.23     0.000
   -2.62    -1.62    51.43        -2.62    -1.62    51.43     0.000
   -4.45     9.55    47.91        -4.45     9.55    47.91     0.000
   25.33    22.31    -1.96        25.33    22.31    -1.96     0.000
  -24.14     7.52   -23.39       -24.14     7.52   -23.39     0.000
