150 PA5-G-Unknown-Answer.txt 6
  -91.7407  -66.2557   46.0237  -46.5322   85.5702   16.1072
    5.07    -8.41    48.01         5.07    -8.41    48.01     0.000
  -19.59     8.67   -35.22       -19.59     8.67   -35.22     0.000
    2.20   -15.23    -2.08         2.20   -15.23    -2.08     0.000
  -13.96     8.69   -24.26       -13.96     8.69   -24.26     0.000
  -27.54   -19.86    -7.81       -27.54   -19.86    -7.81     0.000
   15.08    22.64    36.19        15.08    22.64    36.19     0.000
   28.08    -7.98    -3.33        28.08    -7.98    -3.33     0.000
   19.00    16.34    45.35        19.00    16.34    45.35     0.000
   18.44     1.68    56.14        18.44     1.68    56.14     0.000
   41.52     6.07    -1.88        41.52     6.07    -1.88     0.000
    2.08    19.32     6.45         2.08    19.32     6.45     0.000
   -8.04    12.77    12.81        -8.04    12.77    12.81     0.000
  -41.44   -18.43   -13.77       -41.44   -18.43   -13.77     0.000
   27.32     7.10    28.12        27.32     7.10    28.12     0.000
   22.22     0.26    39.32        22.22     0.26    39.32     0.000
   33.84    14.86    14.62        33.84    14.86    14.62     0.000
   -4.23    12.44    54.83        -4.23    12.44    54.83     0.000
   13.51    -5.10    53.33        13.51    -5.10    53.33     0.000
